ncessch,lcity,website,is_school_wide_title1,lzip,title1_school_status,is_title1_eligible,total_students,level,fl_eligible,nslp_direct_certification,rl_eligible,frl_eligible,national_school_lunch_program,sch_name,phone,st,county,gslo,gshi,g_pk_offered,g_kg_offered,g_1_offered,g_2_offered,g_3_offered,g_4_offered,g_5_offered,g_6_offered,g_7_offered,g_8_offered,g_9_offered,g_10_offered,g_11_offered,g_12_offered,g_13_offered,g_ug_offered,g_ae_offered,nogrades,sch_type,sy_status,updated_status,effective_date,lea_name,mcity,mzip,mstate
180004602162,Gary,,1-Yes,46402,5-Title I schoolwide school,1-Yes,1329,Other,1025,968,43,1068,Yes participating without using any Provision or the CEO,21st Century Charter Sch of Gary,2198869339,IN,Lake County,Kindergarten,12th Grade,2-No,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,1-Regular school,1-Open,1-Open,01/25/2022,21st Century Charter Sch of Gary,Gary,46402,IN
420009100597,West Chester,http://www.21cccs.org,2-No,19380,2-Title I targeted assistance school,1-Yes,1536,High,248,,19,267,,21st Century Cyber CS,4848755400,PA,Chester County,6th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,1-Regular school,1-Open,1-Open,04/05/2022,21st Century Cyber CS,West Chester,19380,PA
200672002055,Greensburg,,,67054,6-Not a Title I school,2-No,108,High,,,,3,No,21st Century Learning Academy/Kiowa County,6207231130,KS,Kiowa County,6th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,2-No,1-Yes,2-No,2-No,1-Regular school,1-Open,1-Open,02/08/2022,Kiowa County,Greensburg,67054,KS
60429013779,Beaumont,http://21cli.beaumontusd.us/,,92223,,,441,Other,204,164,41,245,,21st Century Learning Institute,9517698424,CA,Riverside County,Kindergarten,12th Grade,2-No,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,4-Alternative Education School,1-Open,1-Open,01/10/2022,Beaumont Unified,Beaumont,92223,CA
270002504573,MINNETONKA,http://district287.org,,55305,6-Not a Title I school,2-No,0,High,,,,,No,270 - HAP - IS,7635507226,MN,Hennepin County,10th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,4-Alternative Education School,1-Open,1-Open,02/23/2022,Intermediate School District 287,MINNETONKA,55305,MN
270002502875,MINNETONKA,http://district287.org,,55305,6-Not a Title I school,2-No,0,High,,,,,No,270 HOPKINS ALTERNATIVE,7635507226,MN,Hennepin County,9th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,4-Alternative Education School,1-Open,1-Open,02/23/2022,Intermediate School District 287,MINNETONKA,55305,MN
270002503397,MINNETONKA,http://district287.org,,55305,6-Not a Title I school,2-No,0,High,,,,,No,270 HOPKINS NORTH JR HIGH ALC,7635507226,MN,Hennepin County,7th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,4-Alternative Education School,1-Open,1-Open,02/23/2022,Intermediate School District 287,MINNETONKA,55305,MN
270002503396,MINNETONKA,http://district287.org,,55305,6-Not a Title I school,2-No,0,Middle,,,,,No,270 HOPKINS WEST JR HIGH ALC,7635507226,MN,Hennepin County,7th Grade,9th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,2-No,2-No,2-No,4-Alternative Education School,1-Open,1-Open,02/23/2022,Intermediate School District 287,MINNETONKA,55305,MN
270002503554,MINNETRISTA,http://district287.org,,55364,6-Not a Title I school,2-No,0,High,,,,,No,277 WESTONKA AREA LEARNING ACADEMY,7635507179,MN,Hennepin County,9th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,4-Alternative Education School,1-Open,1-Open,02/23/2022,Intermediate School District 287,MINNETRISTA,55364,MN
272520005370,BROOKLYN PARK,,,55428,6-Not a Title I school,2-No,199,Middle,84,,13,97,No,279Online Learning Program 6-8,7633918890,MN,Hennepin County,6th Grade,8th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Regular school,4-Added,4-Added,02/23/2022,OSSEO PUBLIC SCHOOL DISTRICT,BROOKLYN PARK,55428,MN
272520005371,BROOKLYN PARK,,,55428,6-Not a Title I school,2-No,304,High,131,,22,153,No,279Online Learning Program 9-12,7633918890,MN,Hennepin County,9th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,1-Regular school,4-Added,4-Added,02/23/2022,OSSEO PUBLIC SCHOOL DISTRICT,BROOKLYN PARK,55428,MN
80258006836,BRIGHTON,,,80601,6-Not a Title I school,2-No,390,Other,,,,,No,27J Online Academy,3036552958,CO,Adams County,Kindergarten,12th Grade,2-No,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,1-Regular school,3-New,3-New,01/12/2022,School District 27J,BRIGHTON,80601,CO
270002503562,SAINT LOUIS PARK,http://district287.org,,55426,6-Not a Title I school,2-No,0,High,,,,,No,283 ST LOUIS PK INDEPENDENT STUDY,7635507226,MN,Hennepin County,9th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,4-Alternative Education School,1-Open,1-Open,02/23/2022,Intermediate School District 287,SAINT LOUIS PARK,55426,MN
270002504216,SAINT LOUIS PARK,http://district287.org,,55426,6-Not a Title I school,2-No,0,High,,,,,No,283-IND STDY 15 AND UNDER - I.S.,7635507226,MN,Hennepin County,9th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,4-Alternative Education School,1-Open,1-Open,02/23/2022,Intermediate School District 287,SAINT LOUIS PARK,55426,MN
270002503561,SAINT LOUIS PARK,http://district287.org,,55426,6-Not a Title I school,2-No,0,High,,,,,No,283-ST. LOUIS PARK ALC,7635507226,MN,Hennepin County,9th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,4-Alternative Education School,1-Open,1-Open,02/23/2022,Intermediate School District 287,SAINT LOUIS PARK,55426,MN
481518014290,LUBBOCK,,,79423,,,,Not Reported,,,,,,2ND H S IN THE DISTRICT,8068637100,TX,Lubbock County,,,,,,,,,,,,,,,,,,,,,1-Regular school,7-Future,7-Future,03/07/2022,LUBBOCK-COOPER ISD,LUBBOCK,79423,TX
120144009033,ORLANDO,,,32801,6-Not a Title I school,2-No,0,Middle,,,,,No,34-M-W-7  (34-M-N-7),4073173200,FL,Orange County,6th Grade,8th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Regular school,3-New,3-New,06/29/2021,ORANGE,ORLANDO,32801,FL
440090000492,Providence,,1-Yes,02905,5-Title I schoolwide school,1-Yes,323,High,254,,15,269,Yes under Community Eligibility Option (CEO),360 High School,4012744603,RI,Providence County,9th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,1-Regular school,1-Open,1-Open,01/25/2022,Providence,Providence,02905,RI
160153000605,IDAHO FALLS,,,83401,6-Not a Title I school,2-No,10,Other,,,,,No,3B JUVENILE DETENTION CENTER,2085422947,ID,Bonneville County,4th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,4-Alternative Education School,1-Open,1-Open,02/18/2022,IDAHO FALLS DISTRICT,IDAHO FALLS,83401,ID
481739012205,DONNA,http://www.donnaisd.net,1-Yes,78537,5-Title I schoolwide school,1-Yes,168,High,160,,0,160,Yes under Community Eligibility Option (CEO),3D ACADEMY,9564641254,TX,Hidalgo County,9th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,4-Alternative Education School,1-Open,1-Open,03/07/2022,DONNA ISD,DONNA,78537,TX
390487306154,Dayton,,,45414,6-Not a Title I school,2-No,65,Other,,3,,,No,3EA,9372785885,OH,Montgomery County,Kindergarten,12th Grade,2-No,1-Yes,1-Yes,1-Yes,2-No,1-Yes,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,1-Regular school,3-New,3-New,04/14/2022,Northridge Local,Dayton,45414,OH
484653012331,WYLIE,,,75098,,,,Not Reported,,,,,,3RD H S,9724293000,TX,Collin County,,,,,,,,,,,,,,,,,,,,,1-Regular school,6-Inactive,6-Inactive,03/07/2022,WYLIE ISD,WYLIE,75098,TX
270002504823,MINNETONKA,http://district287.org,,55343,6-Not a Title I school,2-No,0,High,,,,,No,4122 - Eagle Ridge Academy - IS,7635507226,MN,Hennepin County,9th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,4-Alternative Education School,1-Open,1-Open,02/23/2022,Intermediate School District 287,MINNETONKA,55343,MN
270002504476,BROOKLYN PARK,http://district287.org,,55428,6-Not a Title I school,2-No,0,High,,,,,No,4126 - PRAIRIE SEEDS ACADEMY - IS,7635507226,MN,Hennepin County,9th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,4-Alternative Education School,1-Open,1-Open,02/23/2022,Intermediate School District 287,BROOKLYN PARK,55428,MN
410804001887,Medford,,,97501,6-Not a Title I school,2-No,0,Middle,,,,,,5-6 School at Oakdale,5418423636,OR,Jackson County,5th Grade,6th Grade,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Regular school,1-Open,1-Open,02/02/2022,Medford SD 549C,Medford,97501,OR
120144009031,ORLANDO,,,32801,,,,Not Reported,,,,,,50-H-SE-2,4073173200,FL,Orange County,,,,,,,,,,,,,,,,,,,,,1-Regular school,7-Future,7-Future,07/01/2021,ORANGE,ORLANDO,32801,FL
200795002097,Kansas City,,,66612,6-Not a Title I school,2-No,112,High,10,,0,10,Yes participating without using any Provision or the CEO,500 Reach,9132871718,KS,Wyandotte County,9th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,2-No,1-Yes,2-No,2-No,1-Regular school,1-Open,1-Open,02/08/2022,Kansas City,Kansas City,66612,KS
274416004676,WORTHINGTON,,2-No,56187,1-Title I targeted assistance eligible school-No program,1-Yes,56,High,12,,1,13,No,518 Virtual Instruction Secondary,5073721322,MN,Nobles County,7th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,1-Regular school,1-Open,1-Open,02/23/2022,WORTHINGTON PUBLIC SCHOOL DISTRICT,WORTHINGTON,56187,MN
80336006756,DENVER,http://www.5280highschool.org/,1-Yes,80223,5-Title I schoolwide school,1-Yes,114,High,31,,6,37,,5280 High School,7209191056,CO,Denver County,9th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,1-Regular school,1-Open,1-Open,01/12/2022,School District No. 1 in the county of Denver and State of C,DENVER,80223,CO
262016008622,Grand Rapids,http://www.kvilleps.org,1-Yes,49548,4-Title I schoolwide eligible school-No program,1-Yes,66,High,54,,2,56,Yes under Community Eligibility Option (CEO),54th Street Academy,6165317433,MI,Kent County,9th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,4-Alternative Education School,1-Open,1-Open,01/10/2022,Kelloggsville Public Schools,GRAND RAPIDS,49548,MI
279144305447,RED WING,http://5RiversOnline.org,,55066,6-Not a Title I school,2-No,86,High,17,,4,21,No,5RiversOnline Secondary,6513884441,MN,Goodhue County,7th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,1-Regular school,4-Added,4-Added,02/23/2022,Goodhue County Education District,RED WING,55066,MN
292826001741,SIKESTON,http://www.sikestonr6.org,1-Yes,63801,5-Title I schoolwide school,1-Yes,487,Middle,468,196,0,468,No,5TH AND 6TH GRADE CTR.,5734710792,MO,Scott County,5th Grade,6th Grade,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Regular school,1-Open,1-Open,02/25/2022,SIKESTON R-6,SIKESTON,63801,MO
270015000652,GRACEVILLE,http://www.graceville.k12.mn.us,2-No,56240,2-Title I targeted assistance school,1-Yes,131,High,26,,10,36,No,6-12th Grade Building,3207487233,MN,Big Stone County,6th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,1-Regular school,1-Open,1-Open,02/23/2022,CLINTON-GRACEVILLE-BEARDSLEY,GRACEVILLE,56240,MN
272385001044,NORTH SAINT PAUL,,,55109,6-Not a Title I school,2-No,0,High,,,,,No,622 ALTERNATIVE MIDDLE/HIGH SCHOOL,6517487454,MN,Ramsey County,6th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,4-Alternative Education School,1-Open,1-Open,02/23/2022,North St. Paul-Maplewood Oakdale,NORTH SAINT PAUL,55109,MN
272385005412,NORTH SAINT PAUL,,,55109,6-Not a Title I school,2-No,167,High,89,,12,101,No,622 Online High School,6517487583,MN,Ramsey County,9th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,1-Regular school,4-Added,4-Added,02/23/2022,North St. Paul-Maplewood Oakdale,NORTH SAINT PAUL,55109,MN
272385005411,NORTH SAINT PAUL,,,55109,6-Not a Title I school,2-No,122,Middle,54,,12,66,No,622 Online Middle School,6517487583,MN,Ramsey County,6th Grade,8th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Regular school,4-Added,4-Added,02/23/2022,North St. Paul-Maplewood Oakdale,NORTH SAINT PAUL,55109,MN
402097000599,Muskogee,http://www.roughers.net,1-Yes,74403,5-Title I schoolwide school,1-Yes,597,Middle,,103,,478,Yes under Community Eligibility Option (CEO),6TH AND 7TH GRADE ACADEMY,9186843775,OK,Muskogee County,6th Grade,7th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Regular school,1-Open,1-Open,01/27/2022,MUSKOGEE,Muskogee,74403,OK
293144003207,Waynesville,,1-Yes,65583,4-Title I schoolwide eligible school-No program,1-Yes,466,Middle,115,60,60,175,No,6TH GRADE CENTER,5738422300,MO,Pulaski County,6th Grade,6th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Regular school,1-Open,1-Open,02/25/2022,WAYNESVILLE R-VI,Waynesville,65583,MO
421989007631,Quakertown,,,18951,6-Not a Title I school,2-No,304,Middle,96,,3,99,,6th Grade Center,2155292000,PA,Bucks County,6th Grade,6th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Regular school,1-Open,1-Open,04/05/2022,Quakertown Community SD,Quakertown,18951,PA
130123004364,Forest Park,,2-No,30297,2-Title I targeted assistance school,1-Yes,127,Middle,,3,,,No,7 Pillars Career Academy,7709545306,GA,Clayton County,6th Grade,8th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Regular school,1-Open,1-Open,03/02/2022,Clayton County,Forest Park,30297,GA
80615006496,PUEBLO,,,81001,6-Not a Title I school,2-No,214,High,,,,,No,70 Online,7192956518,CO,Pueblo County,6th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,4-Alternative Education School,1-Open,1-Open,01/12/2022,Pueblo County School District 70,PUEBLO,81001,CO
402487002915,Poteau,http://www.poteau.k12.ok.us,1-Yes,74953,5-Title I schoolwide school,1-Yes,335,Middle,,97,,211,Yes under Community Eligibility Option (CEO),7TH AND 8TH GRADE ACADEMIC CTR,9186477740,OK,Le Flore County,7th Grade,8th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Regular school,1-Open,1-Open,01/27/2022,POTEAU,Poteau,74953,OK
292826001737,SIKESTON,http://www.sikestonr6.org,,63801,6-Not a Title I school,2-No,512,Middle,488,171,0,488,No,7TH AND 8TH GRADE CTR.,5734711720,MO,Scott County,7th Grade,8th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Regular school,1-Open,1-Open,02/25/2022,SIKESTON R-6,SIKESTON,63801,MO
170804006232,Cahokia,http://www.cusd187.org,1-Yes,62206,5-Title I schoolwide school,1-Yes,229,Middle,,,,211,No,7th Grade Academy,6183325901,IL,St. Clair County,7th Grade,7th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Regular school,1-Open,1-Open,02/18/2022,Cahokia CUSD 187,Cahokia,62206,IL
483808012373,ROUND ROCK,http://www.roundrockisd.org,,78681,,,,Not Reported,,,,,,7TH H S - NORTHEAST,5124645000,TX,Williamson County,,,,,,,,,,,,,,,,,,,,,1-Regular school,6-Inactive,6-Inactive,03/07/2022,ROUND ROCK ISD,ROUND ROCK,78681,TX
272139005499,MONTICELLO,http://www.monticello.k12.mn.us,,55362,6-Not a Title I school,2-No,28,High,3,,2,5,No,882 Online 6-12,7632722000,MN,Wright County,6th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,1-Regular school,4-Added,4-Added,02/23/2022,MONTICELLO PUBLIC SCHOOL DISTRICT,MONTICELLO,55362,MN
402097002930,Muskogee,http://www.roughers.net,1-Yes,74403,5-Title I schoolwide school,1-Yes,710,Secondary,,108,,535,Yes under Community Eligibility Option (CEO),8TH AND 9TH GRADE ACADEMY,9186843700,OK,Muskogee County,8th Grade,9th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Regular school,3-New,3-New,07/01/2021,MUSKOGEE,Muskogee,74403,OK
